Index,Quantity,Digikey Part Number,Manufacturer Part Number,Description,Unit Price (US),Total Price (US),Link
1,1,1528-1514-ND,2771,FEATHER 32U4 BASIC PROTO,19.95,,https://www.digikey.com/product-detail/en/adafruit-industries-llc/2771/1528-1514-ND/
2,1,1568-1213-ND,COM-12986,ADDRESS LED DISC SER RGB 5MM 5PC,2.95,,https://www.digikey.com/products/en?keywords=COM-12986
3,1,1528-1560-ND,2886,FEATHER HEADER KIT FML,0.95,,https://www.digikey.com/product-detail/en/adafruit-industries-llc/2886/1528-1560-ND/ 
4,1,CF14JT470RCT-ND,CF14JT470R,RES 470 OHM 1/4W 5% AXIAL ,0.1,,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT470R/CF14JT470RCT-ND/1830342
5,4,CP1-3535NG-ND,"	SJ1-3535NG",CONN JACK STEREO 3.5MM R/A,1.25,,https://www.digikey.com/product-detail/en/cui-inc/SJ1-3535NG/CP1-3535NG-ND 
6,4,36-4687-ND,4687,"HEX NUT 0.197"" NYLON M2.5",0.15,,https://www.digikey.com/en/products/detail/keystone-electronics/4687/4499296
7,4,36-29334-ND,29334,MACH SCREW PAN SLOTTED M2.5X0.45,0.22,,https://www.digikey.com/en/products/detail/keystone-electronics/29334/1532988
8,1,732-5318-ND,61300511121,CONN HEADER VERT 5POS 2.54MM,0.25,,https://www.digikey.com/product-detail/en/wurth-electronics-inc/61300511121/732-5318-ND
9,1,1528-1858-ND,2750,BATTERY LITHIUM 3.7V 350MAH (Optional),6.95,,https://www.digikey.com/en/products/detail/adafruit-industries-llc/2750/6612470
,,,,,,,
,,,,,Subtotal,30.68,
